lat,lon,country,state,cod_municipio,county,elevation_m,ano,yield (kg/ha)
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2019,2294.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2020,3200.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2021,3870.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2022,3700.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2023,3650.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2024,3650.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2016,3487.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2017,3500.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2018,3700.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2019,2990.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2020,4000.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2021,3900.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2022,720.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2023,3900.0
-25.8850874611,-53.6317688579107,Brazil,Parana,4102752,Bela Vista da Caroba,492.74,2024,3200.0
